Customer_ID,Customer_Type,Risk_Category,Country,Onboarding_Date
CUST1100,Retail,Medium,India,16-06-2023
CUST1101,Retail,Low,India,29-01-2023
CUST1102,Retail,High,India,28-04-2023
CUST1103,Retail,Low,India,17-01-2023
CUST1104,Retail,Medium,India,11-06-2023
CUST1105,NRI,Low,UAE,25-07-2023
CUST1106,Retail,High,India,18-05-2023
CUST1107,Retail,Low,India,03-02-2023
CUST1108,NRI,Low,Singapore,19-04-2023
CUST1109,Retail,High,India,18-10-2023
CUST1110,Retail,Low,India,11-06-2023
CUST1111,Retail,Low,India,19-04-2023
CUST1112,Retail,High,India,02-12-2023
CUST1113,NRI,High,USA,13-09-2023
CUST1114,NRI,Medium,USA,22-07-2023
CUST1115,Retail,Medium,India,26-11-2023
CUST1116,NRI,Low,UK,23-08-2023
CUST1117,NRI,Low,Singapore,15-03-2023
CUST1118,Retail,Low,India,16-05-2023
CUST1119,NRI,Medium,USA,13-03-2023
CUST1120,Retail,Medium,India,07-05-2023
CUST1121,NRI,Medium,Singapore,15-10-2023
CUST1122,NRI,Medium,USA,03-10-2023
CUST1123,Retail,Low,India,15-05-2023
CUST1124,Retail,Low,India,27-10-2023
CUST1125,Retail,Low,India,08-08-2023
CUST1126,Retail,Low,India,26-10-2023
CUST1127,NRI,Low,UAE,24-07-2023
CUST1128,NRI,High,USA,05-07-2023
CUST1129,Retail,Low,India,23-04-2023
CUST1130,Retail,Low,India,12-03-2023
CUST1131,Retail,Low,India,18-09-2023
CUST1132,Retail,Medium,India,10-09-2023
CUST1133,Retail,Medium,India,16-02-2023
CUST1134,Retail,Low,India,25-01-2023
CUST1135,NRI,Low,Singapore,26-02-2023
CUST1136,Retail,Medium,India,20-03-2023
CUST1137,Retail,Low,India,18-11-2023
CUST1138,NRI,Medium,UAE,23-03-2023
CUST1139,Retail,Medium,India,15-12-2023
CUST1140,NRI,Low,UAE,05-08-2023
CUST1141,NRI,Low,UAE,02-11-2023
CUST1142,Retail,High,India,02-02-2023
CUST1143,Retail,Low,India,17-07-2023
CUST1144,Retail,Low,India,15-07-2023
CUST1145,Retail,Medium,India,02-11-2023
CUST1146,Retail,High,India,28-08-2023
CUST1147,Retail,High,India,28-09-2023
CUST1148,Retail,Medium,India,09-05-2023
CUST1149,Retail,Low,India,11-10-2023
CUST1150,Retail,Low,India,06-01-2023
CUST1151,NRI,Medium,Singapore,15-12-2023
CUST1152,Retail,Medium,India,28-02-2023
CUST1153,Retail,Low,India,16-12-2023
CUST1154,Retail,High,India,02-10-2023
CUST1155,NRI,Low,UK,17-05-2023
CUST1156,Retail,Low,India,25-11-2023
CUST1157,Retail,Low,India,24-06-2023
CUST1158,NRI,Low,UK,27-02-2023
CUST1159,Retail,Low,India,31-05-2023
CUST1160,NRI,Low,UK,11-08-2023
CUST1161,Retail,Low,India,22-03-2023
CUST1162,Retail,Medium,India,21-08-2023
CUST1163,Retail,Medium,India,02-01-2023
CUST1164,Retail,Medium,India,15-05-2023
CUST1165,Retail,High,India,14-09-2023
CUST1166,NRI,Low,Singapore,02-04-2023
CUST1167,Retail,Low,India,17-09-2023
CUST1168,Retail,High,India,24-02-2023
CUST1169,Retail,Low,India,17-11-2023
CUST1170,Retail,High,India,02-06-2023
CUST1171,Retail,Low,India,24-11-2023
CUST1172,Retail,High,India,17-09-2023
CUST1173,Retail,Low,India,08-11-2023
CUST1174,Retail,High,India,12-04-2023
CUST1175,Retail,Low,India,20-03-2023
CUST1176,Retail,High,India,11-07-2023
CUST1177,Retail,Low,India,24-03-2023
CUST1178,Retail,Medium,India,04-10-2023
CUST1179,NRI,High,UAE,29-09-2023
CUST1180,Retail,Low,India,01-01-2023
CUST1181,Retail,Medium,India,03-11-2023
CUST1182,Retail,Medium,India,15-06-2023
CUST1183,NRI,Low,UK,08-09-2023
CUST1184,NRI,Medium,Singapore,10-01-2023
CUST1185,Retail,Medium,India,27-02-2023
CUST1186,Retail,High,India,05-07-2023
CUST1187,NRI,Low,UK,07-06-2023
CUST1188,Retail,Low,India,03-05-2023
CUST1189,Retail,High,India,30-01-2023
CUST1190,Retail,High,India,04-05-2023
CUST1191,Retail,Low,India,18-10-2023
CUST1192,NRI,Medium,USA,10-02-2023
CUST1193,NRI,Low,UK,13-02-2023
CUST1194,Retail,Low,India,06-09-2023
CUST1195,Retail,Low,India,05-02-2023
CUST1196,Retail,Low,India,30-09-2023
CUST1197,NRI,Medium,UK,06-03-2023
CUST1198,NRI,Low,UAE,07-03-2023
CUST1199,NRI,High,Singapore,04-12-2023
CUST1200,NRI,High,UAE,01-09-2023
CUST1201,Retail,Medium,India,09-10-2023
CUST1202,Retail,Low,India,26-03-2023
CUST1203,Retail,Low,India,16-05-2023
CUST1204,NRI,Medium,UAE,28-09-2023
CUST1205,Retail,Medium,India,07-11-2023
CUST1206,Retail,Low,India,05-08-2023
CUST1207,Retail,High,India,19-04-2023
CUST1208,Retail,Medium,India,04-10-2023
CUST1209,Retail,High,India,20-12-2023
CUST1210,Retail,Medium,India,13-04-2023
CUST1211,Retail,Medium,India,09-06-2023
CUST1212,Retail,Low,India,24-07-2023
CUST1213,Retail,High,India,10-12-2023
CUST1214,Retail,High,India,29-11-2023
CUST1215,NRI,Low,UAE,11-07-2023
CUST1216,Retail,Low,India,13-08-2023
CUST1217,Retail,Low,India,22-09-2023
CUST1218,NRI,Medium,UAE,20-08-2023
CUST1219,Retail,High,India,03-03-2023
CUST1220,NRI,Low,UAE,07-05-2023
CUST1221,Retail,Medium,India,26-04-2023
CUST1222,Retail,Low,India,02-02-2023
CUST1223,Retail,High,India,23-06-2023
CUST1224,Retail,Medium,India,11-01-2023
CUST1225,Retail,Medium,India,29-10-2023
CUST1226,Retail,Low,India,11-10-2023
CUST1227,NRI,Low,UK,28-04-2023
CUST1228,Retail,Low,India,29-10-2023
CUST1229,NRI,Low,UAE,23-04-2023
CUST1230,Retail,High,India,04-01-2023
CUST1231,NRI,Medium,UAE,06-02-2023
CUST1232,Retail,High,India,29-12-2023
CUST1233,Retail,High,India,20-11-2023
CUST1234,Retail,Medium,India,31-01-2023
CUST1235,Retail,Medium,India,28-04-2023
CUST1236,NRI,High,Singapore,04-02-2023
CUST1237,Retail,Medium,India,17-01-2023
CUST1238,Retail,Low,India,19-06-2023
CUST1239,Retail,Low,India,06-02-2023
CUST1240,Retail,Low,India,21-09-2023
CUST1241,NRI,High,USA,02-05-2023
CUST1242,NRI,Medium,UK,23-05-2023
CUST1243,NRI,Low,UK,09-12-2023
CUST1244,Retail,Medium,India,06-09-2023
CUST1245,Retail,Medium,India,20-04-2023
CUST1246,NRI,Low,UK,04-10-2023
CUST1247,Retail,Low,India,09-03-2023
CUST1248,NRI,Medium,UAE,20-10-2023
CUST1249,NRI,Low,UAE,23-10-2023
CUST1250,NRI,Medium,UAE,31-08-2023
CUST1251,Retail,Low,India,05-05-2023
CUST1252,Retail,High,India,31-08-2023
CUST1253,NRI,Medium,Singapore,28-07-2023
CUST1254,Retail,Medium,India,08-04-2023
CUST1255,Retail,High,India,18-02-2023
CUST1256,Retail,Low,India,19-02-2023
CUST1257,NRI,Low,USA,04-12-2023
CUST1258,Retail,Low,India,09-08-2023
CUST1259,Retail,Medium,India,01-07-2023
CUST1260,Retail,Medium,India,05-08-2023
CUST1261,Retail,Medium,India,30-07-2023
CUST1262,NRI,Low,UAE,28-08-2023
CUST1263,Retail,Low,India,28-01-2023
CUST1264,Retail,Low,India,11-12-2023
CUST1265,NRI,Low,USA,01-12-2023
CUST1266,NRI,Medium,Singapore,27-11-2023
CUST1267,Retail,Low,India,20-02-2023
CUST1268,NRI,Low,UK,01-02-2023
CUST1269,Retail,High,India,26-07-2023
CUST1270,Retail,Low,India,23-06-2023
CUST1271,NRI,Low,UAE,25-02-2023
CUST1272,NRI,Medium,USA,08-05-2023
CUST1273,NRI,Low,USA,09-04-2023
CUST1274,NRI,Medium,UAE,08-04-2023
CUST1275,Retail,High,India,02-10-2023
CUST1276,Retail,High,India,18-08-2023
CUST1277,NRI,Low,UK,13-03-2023
CUST1278,Retail,High,India,05-08-2023
CUST1279,NRI,Low,UK,04-04-2023
CUST1280,NRI,Low,UK,23-05-2023
CUST1281,NRI,Low,Singapore,25-08-2023
CUST1282,Retail,High,India,08-05-2023
CUST1283,Retail,Low,India,08-02-2023
CUST1284,Retail,Low,India,15-08-2023
CUST1285,Retail,Medium,India,09-10-2023
CUST1286,Retail,Low,India,20-02-2023
CUST1287,Retail,Low,India,26-01-2023
CUST1288,Retail,Low,India,30-11-2023
CUST1289,Retail,Low,India,04-10-2023
CUST1290,Retail,Low,India,08-01-2023
CUST1291,Retail,Low,India,17-02-2023
CUST1292,Retail,Medium,India,02-05-2023
CUST1293,NRI,Low,USA,27-03-2023
CUST1294,Retail,Low,India,28-07-2023
CUST1295,Retail,High,India,06-09-2023
CUST1296,Retail,Low,India,04-09-2023
CUST1297,NRI,Medium,USA,20-04-2023
CUST1298,Retail,Low,India,25-07-2023
CUST1299,Retail,Low,India,31-01-2023
CUST1300,Retail,Low,India,26-03-2023
