KYC_ID,Customer_ID,KYC_Status,KYC_Start_Date,KYC_Completed_Date,AML_Flag,SLA_Days
KYC37,CUST1037,Completed,24-05-2023,25-05-2023 00:00,No,3
KYC38,CUST1038,Completed,24-03-2023,26-03-2023 00:00,No,3
KYC39,CUST1039,Pending,24-04-2023,,No,3
KYC40,CUST1040,Completed,24-06-2023,25-06-2023 00:00,No,3
KYC41,CUST1041,Completed,24-02-2023,01-03-2023 00:00,No,3
KYC42,CUST1042,Completed,20-02-2023,21-02-2023 00:00,No,3
KYC43,CUST1043,Pending,16-07-2023,,No,3
KYC44,CUST1044,Completed,19-02-2023,21-02-2023 00:00,No,3
KYC45,CUST1045,Pending,05-07-2023,,No,3
KYC46,CUST1046,Completed,30-06-2023,04-07-2023 00:00,No,3
KYC47,CUST1047,Completed,08-11-2023,09-11-2023 00:00,No,3
KYC48,CUST1048,Completed,17-05-2023,22-05-2023 00:00,No,3
KYC49,CUST1049,Completed,23-01-2023,25-01-2023 00:00,No,3
KYC50,CUST1050,Completed,25-08-2023,30-08-2023 00:00,No,3
KYC51,CUST1051,Pending,03-10-2023,,Yes,3
KYC52,CUST1052,Completed,09-03-2023,14-03-2023 00:00,No,3
KYC53,CUST1053,Completed,13-07-2023,14-07-2023 00:00,No,3
KYC54,CUST1054,Pending,10-02-2023,,No,3
KYC55,CUST1055,Completed,10-10-2023,15-10-2023 00:00,No,3
KYC56,CUST1056,Completed,31-05-2023,01-06-2023 00:00,No,3
KYC57,CUST1057,Completed,18-11-2023,22-11-2023 00:00,No,3
KYC58,CUST1058,Completed,17-11-2023,22-11-2023 00:00,No,3
KYC59,CUST1059,Completed,07-07-2023,12-07-2023 00:00,No,3
KYC60,CUST1060,Completed,24-10-2023,29-10-2023 00:00,No,3
KYC61,CUST1061,Completed,09-04-2023,12-04-2023 00:00,No,3
KYC62,CUST1062,Completed,29-12-2023,01-01-2024 00:00,No,3
KYC63,CUST1063,Completed,07-02-2023,09-02-2023 00:00,No,3
KYC64,CUST1064,Completed,25-01-2023,28-01-2023 00:00,No,3
KYC65,CUST1065,Completed,09-12-2023,11-12-2023 00:00,No,3
KYC66,CUST1066,Completed,30-04-2023,03-05-2023 00:00,No,3
KYC67,CUST1067,Completed,01-06-2023,05-06-2023 00:00,No,3
KYC68,CUST1068,Completed,12-02-2023,14-02-2023 00:00,No,3
KYC69,CUST1069,Pending,01-05-2023,,No,3
KYC70,CUST1070,Completed,24-02-2023,27-02-2023 00:00,Yes,3
KYC71,CUST1071,Pending,16-07-2023,,No,3
KYC72,CUST1072,Completed,27-05-2023,31-05-2023 00:00,No,3
KYC73,CUST1073,Completed,24-08-2023,27-08-2023 00:00,No,3
KYC74,CUST1074,Pending,24-11-2023,,Yes,3
KYC75,CUST1075,Pending,08-07-2023,,No,3
KYC76,CUST1076,Completed,25-03-2023,26-03-2023 00:00,No,3
KYC77,CUST1077,Completed,13-07-2023,14-07-2023 00:00,No,3
KYC78,CUST1078,Pending,01-07-2023,,No,3
KYC79,CUST1079,Completed,19-04-2023,23-04-2023 00:00,No,3
KYC80,CUST1080,Completed,10-12-2023,15-12-2023 00:00,No,3
KYC81,CUST1081,Pending,17-05-2023,,Yes,3
KYC82,CUST1082,Pending,29-12-2023,,No,3
KYC83,CUST1083,Pending,18-12-2023,,No,3
KYC84,CUST1084,Pending,02-12-2023,,No,3
KYC85,CUST1085,Pending,06-02-2023,,No,3
KYC86,CUST1086,Completed,12-11-2023,17-11-2023 00:00,No,3
KYC87,CUST1087,Completed,22-11-2023,23-11-2023 00:00,No,3
KYC88,CUST1088,Completed,30-03-2023,31-03-2023 00:00,No,3
KYC89,CUST1089,Pending,01-10-2023,,No,3
KYC90,CUST1090,Completed,09-05-2023,14-05-2023 00:00,No,3
KYC91,CUST1091,Completed,27-03-2023,29-03-2023 00:00,No,3
KYC92,CUST1092,Completed,26-08-2023,31-08-2023 00:00,No,3
KYC93,CUST1093,Completed,14-07-2023,17-07-2023 00:00,No,3
KYC94,CUST1094,Completed,23-05-2023,25-05-2023 00:00,No,3
KYC95,CUST1095,Pending,25-11-2023,,No,3
KYC96,CUST1096,Completed,20-12-2023,23-12-2023 00:00,No,3
KYC97,CUST1097,Completed,13-10-2023,14-10-2023 00:00,No,3
KYC98,CUST1098,Completed,24-04-2023,26-04-2023 00:00,No,3
KYC99,CUST1099,Completed,21-12-2023,24-12-2023 00:00,No,3
KYC100,CUST1100,Completed,17-06-2023,20-06-2023 00:00,No,3
KYC101,CUST1101,Completed,02-02-2023,04-02-2023 00:00,No,3
KYC102,CUST1102,Completed,28-04-2023,02-05-2023 00:00,No,3
KYC103,CUST1103,Completed,19-01-2023,24-01-2023 00:00,No,3
KYC104,CUST1104,Completed,12-06-2023,15-06-2023 00:00,No,3
KYC105,CUST1105,Completed,27-07-2023,01-08-2023 00:00,No,3
KYC106,CUST1106,Completed,22-05-2023,27-05-2023 00:00,No,3
KYC107,CUST1107,Completed,04-02-2023,05-02-2023 00:00,No,3
KYC108,CUST1108,Completed,22-04-2023,27-04-2023 00:00,Yes,3
KYC109,CUST1109,Completed,20-10-2023,23-10-2023 00:00,No,3
KYC110,CUST1110,Completed,12-06-2023,13-06-2023 00:00,No,3
KYC111,CUST1111,Pending,21-04-2023,,No,3
KYC112,CUST1112,Completed,03-12-2023,05-12-2023 00:00,No,3
KYC113,CUST1113,Completed,13-09-2023,16-09-2023 00:00,No,3
KYC114,CUST1114,Completed,24-07-2023,25-07-2023 00:00,Yes,3
KYC115,CUST1115,Pending,29-11-2023,,No,3
KYC116,CUST1116,Pending,26-08-2023,,No,3
KYC117,CUST1117,Completed,19-03-2023,20-03-2023 00:00,Yes,3
KYC118,CUST1118,Pending,17-05-2023,,No,3
KYC119,CUST1119,Completed,15-03-2023,20-03-2023 00:00,No,3
KYC120,CUST1120,Completed,11-05-2023,13-05-2023 00:00,No,3
KYC121,CUST1121,Completed,17-10-2023,20-10-2023 00:00,No,3
KYC122,CUST1122,Completed,04-10-2023,07-10-2023 00:00,No,3
KYC123,CUST1123,Pending,18-05-2023,,No,3
KYC124,CUST1124,Completed,27-10-2023,01-11-2023 00:00,No,3
KYC125,CUST1125,Completed,11-08-2023,13-08-2023 00:00,Yes,3
KYC126,CUST1126,Completed,30-10-2023,02-11-2023 00:00,No,3
KYC127,CUST1127,Completed,24-07-2023,26-07-2023 00:00,No,3
KYC128,CUST1128,Completed,09-07-2023,12-07-2023 00:00,No,3
KYC129,CUST1129,Completed,24-04-2023,29-04-2023 00:00,No,3
KYC130,CUST1130,Completed,12-03-2023,16-03-2023 00:00,No,3
KYC131,CUST1131,Completed,22-09-2023,25-09-2023 00:00,No,3
KYC132,CUST1132,Completed,11-09-2023,12-09-2023 00:00,No,3
KYC133,CUST1133,Pending,19-02-2023,,No,3
KYC134,CUST1134,Completed,26-01-2023,27-01-2023 00:00,No,3
KYC135,CUST1135,Completed,28-02-2023,04-03-2023 00:00,No,3
KYC136,CUST1136,Completed,21-03-2023,24-03-2023 00:00,No,3
KYC137,CUST1137,Completed,19-11-2023,20-11-2023 00:00,No,3
KYC138,CUST1138,Completed,25-03-2023,26-03-2023 00:00,No,3
KYC139,CUST1139,Pending,19-12-2023,,No,3
KYC140,CUST1140,Pending,09-08-2023,,No,3
KYC141,CUST1141,Completed,03-11-2023,06-11-2023 00:00,No,3
KYC142,CUST1142,Completed,04-02-2023,06-02-2023 00:00,No,3
KYC143,CUST1143,Completed,19-07-2023,22-07-2023 00:00,No,3
KYC144,CUST1144,Completed,18-07-2023,20-07-2023 00:00,No,3
KYC145,CUST1145,Completed,06-11-2023,10-11-2023 00:00,Yes,3
KYC146,CUST1146,Pending,28-08-2023,,No,3
KYC147,CUST1147,Completed,02-10-2023,07-10-2023 00:00,No,3
KYC148,CUST1148,Completed,13-05-2023,17-05-2023 00:00,No,3
KYC149,CUST1149,Completed,14-10-2023,19-10-2023 00:00,No,3
KYC150,CUST1150,Completed,06-01-2023,07-01-2023 00:00,No,3
KYC151,CUST1151,Completed,18-12-2023,19-12-2023 00:00,No,3
KYC152,CUST1152,Completed,28-02-2023,01-03-2023 00:00,No,3
KYC153,CUST1153,Pending,17-12-2023,,No,3
KYC154,CUST1154,Pending,02-10-2023,,No,3
KYC155,CUST1155,Completed,20-05-2023,22-05-2023 00:00,No,3
KYC156,CUST1156,Completed,29-11-2023,04-12-2023 00:00,No,3
KYC157,CUST1157,Pending,24-06-2023,,No,3
KYC158,CUST1158,Completed,27-02-2023,28-02-2023 00:00,Yes,3
KYC159,CUST1159,Completed,02-06-2023,05-06-2023 00:00,No,3
KYC160,CUST1160,Completed,15-08-2023,20-08-2023 00:00,Yes,3
KYC161,CUST1161,Completed,23-03-2023,28-03-2023 00:00,No,3
KYC162,CUST1162,Pending,24-08-2023,,No,3
KYC163,CUST1163,Pending,03-01-2023,,No,3
KYC164,CUST1164,Completed,19-05-2023,21-05-2023 00:00,No,3
KYC165,CUST1165,Completed,14-09-2023,18-09-2023 00:00,Yes,3
KYC166,CUST1166,Completed,02-04-2023,04-04-2023 00:00,No,3
KYC167,CUST1167,Completed,21-09-2023,22-09-2023 00:00,No,3
KYC168,CUST1168,Pending,24-02-2023,,No,3
KYC169,CUST1169,Completed,17-11-2023,20-11-2023 00:00,No,3
KYC170,CUST1170,Completed,02-06-2023,05-06-2023 00:00,No,3
KYC171,CUST1171,Completed,27-11-2023,28-11-2023 00:00,No,3
KYC172,CUST1172,Completed,20-09-2023,23-09-2023 00:00,No,3
KYC173,CUST1173,Completed,10-11-2023,12-11-2023 00:00,No,3
KYC174,CUST1174,Completed,13-04-2023,15-04-2023 00:00,No,3
KYC175,CUST1175,Completed,24-03-2023,25-03-2023 00:00,No,3
KYC176,CUST1176,Pending,15-07-2023,,No,3
KYC177,CUST1177,Completed,28-03-2023,31-03-2023 00:00,No,3
KYC178,CUST1178,Completed,06-10-2023,11-10-2023 00:00,No,3
KYC179,CUST1179,Completed,02-10-2023,06-10-2023 00:00,No,3
KYC180,CUST1180,Pending,03-01-2023,,No,3
KYC181,CUST1181,Pending,07-11-2023,,No,3
KYC182,CUST1182,Completed,16-06-2023,21-06-2023 00:00,Yes,3
KYC183,CUST1183,Completed,08-09-2023,10-09-2023 00:00,No,3
KYC184,CUST1184,Pending,13-01-2023,,No,3
KYC185,CUST1185,Completed,02-03-2023,04-03-2023 00:00,No,3
KYC186,CUST1186,Completed,07-07-2023,09-07-2023 00:00,No,3
KYC187,CUST1187,Pending,10-06-2023,,No,3
KYC188,CUST1188,Completed,07-05-2023,09-05-2023 00:00,No,3
KYC189,CUST1189,Completed,03-02-2023,07-02-2023 00:00,No,3
KYC190,CUST1190,Completed,06-05-2023,07-05-2023 00:00,No,3
KYC191,CUST1191,Completed,22-10-2023,24-10-2023 00:00,No,3
KYC192,CUST1192,Completed,11-02-2023,14-02-2023 00:00,No,3
KYC193,CUST1193,Pending,15-02-2023,,No,3
KYC194,CUST1194,Completed,07-09-2023,11-09-2023 00:00,No,3
KYC195,CUST1195,Completed,05-02-2023,07-02-2023 00:00,No,3
KYC196,CUST1196,Completed,01-10-2023,04-10-2023 00:00,No,3
KYC197,CUST1197,Completed,06-03-2023,08-03-2023 00:00,No,3
KYC198,CUST1198,Pending,07-03-2023,,No,3
KYC199,CUST1199,Completed,05-12-2023,06-12-2023 00:00,No,3
KYC200,CUST1200,Completed,03-09-2023,07-09-2023 00:00,No,3
KYC201,CUST1201,Pending,13-10-2023,,No,3
KYC202,CUST1202,Completed,30-03-2023,31-03-2023 00:00,Yes,3
KYC203,CUST1203,Completed,16-05-2023,20-05-2023 00:00,No,3
KYC204,CUST1204,Completed,28-09-2023,30-09-2023 00:00,Yes,3
KYC205,CUST1205,Completed,09-11-2023,11-11-2023 00:00,No,3
KYC206,CUST1206,Completed,08-08-2023,12-08-2023 00:00,No,3
KYC207,CUST1207,Completed,20-04-2023,23-04-2023 00:00,No,3
KYC208,CUST1208,Pending,04-10-2023,,No,3
KYC209,CUST1209,Completed,24-12-2023,27-12-2023 00:00,Yes,3
KYC210,CUST1210,Completed,15-04-2023,17-04-2023 00:00,No,3
KYC211,CUST1211,Completed,10-06-2023,12-06-2023 00:00,No,3
KYC212,CUST1212,Completed,26-07-2023,27-07-2023 00:00,No,3
KYC213,CUST1213,Pending,11-12-2023,,No,3
KYC214,CUST1214,Completed,30-11-2023,02-12-2023 00:00,Yes,3
KYC215,CUST1215,Completed,11-07-2023,15-07-2023 00:00,No,3
KYC216,CUST1216,Completed,15-08-2023,18-08-2023 00:00,No,3
KYC217,CUST1217,Completed,24-09-2023,27-09-2023 00:00,No,3
KYC218,CUST1218,Completed,24-08-2023,25-08-2023 00:00,No,3
KYC219,CUST1219,Completed,07-03-2023,10-03-2023 00:00,No,3
KYC220,CUST1220,Completed,07-05-2023,10-05-2023 00:00,No,3
KYC221,CUST1221,Pending,26-04-2023,,No,3
KYC222,CUST1222,Completed,05-02-2023,10-02-2023 00:00,No,3
KYC223,CUST1223,Completed,27-06-2023,01-07-2023 00:00,No,3
KYC224,CUST1224,Completed,12-01-2023,17-01-2023 00:00,No,3
KYC225,CUST1225,Pending,31-10-2023,,No,3
KYC226,CUST1226,Completed,11-10-2023,14-10-2023 00:00,No,3
KYC227,CUST1227,Pending,30-04-2023,,No,3
KYC228,CUST1228,Completed,31-10-2023,01-11-2023 00:00,No,3
KYC229,CUST1229,Pending,26-04-2023,,No,3
KYC230,CUST1230,Pending,08-01-2023,,No,3
KYC231,CUST1231,Pending,06-02-2023,,No,3
KYC232,CUST1232,Pending,31-12-2023,,No,3
KYC233,CUST1233,Completed,20-11-2023,21-11-2023 00:00,No,3
KYC234,CUST1234,Completed,01-02-2023,04-02-2023 00:00,No,3
KYC235,CUST1235,Completed,01-05-2023,03-05-2023 00:00,No,3
KYC236,CUST1236,Completed,05-02-2023,10-02-2023 00:00,No,3
KYC237,CUST1237,Completed,17-01-2023,20-01-2023 00:00,No,3
KYC238,CUST1238,Completed,19-06-2023,20-06-2023 00:00,No,3
KYC239,CUST1239,Completed,10-02-2023,11-02-2023 00:00,No,3
KYC240,CUST1240,Completed,23-09-2023,28-09-2023 00:00,No,3
KYC241,CUST1241,Pending,04-05-2023,,Yes,3
KYC242,CUST1242,Completed,24-05-2023,28-05-2023 00:00,No,3
KYC243,CUST1243,Completed,12-12-2023,15-12-2023 00:00,No,3
KYC244,CUST1244,Pending,08-09-2023,,No,3
KYC245,CUST1245,Pending,24-04-2023,,Yes,3
KYC246,CUST1246,Completed,05-10-2023,08-10-2023 00:00,No,3
KYC247,CUST1247,Pending,10-03-2023,,No,3
KYC248,CUST1248,Pending,24-10-2023,,No,3
KYC249,CUST1249,Pending,26-10-2023,,Yes,3
KYC250,CUST1250,Completed,04-09-2023,08-09-2023 00:00,No,3
KYC251,CUST1251,Completed,08-05-2023,13-05-2023 00:00,No,3
KYC252,CUST1252,Completed,04-09-2023,09-09-2023 00:00,No,3
KYC253,CUST1253,Completed,01-08-2023,02-08-2023 00:00,No,3
KYC254,CUST1254,Completed,08-04-2023,12-04-2023 00:00,No,3
KYC255,CUST1255,Completed,19-02-2023,24-02-2023 00:00,No,3
KYC256,CUST1256,Pending,23-02-2023,,Yes,3
KYC257,CUST1257,Completed,08-12-2023,10-12-2023 00:00,No,3
KYC258,CUST1258,Pending,11-08-2023,,No,3
KYC259,CUST1259,Completed,02-07-2023,05-07-2023 00:00,No,3
KYC260,CUST1260,Completed,07-08-2023,08-08-2023 00:00,No,3
KYC261,CUST1261,Pending,31-07-2023,,No,3
KYC262,CUST1262,Completed,30-08-2023,03-09-2023 00:00,No,3
KYC263,CUST1263,Completed,01-02-2023,02-02-2023 00:00,No,3
KYC264,CUST1264,Pending,15-12-2023,,No,3
KYC265,CUST1265,Completed,01-12-2023,06-12-2023 00:00,No,3
KYC266,CUST1266,Completed,29-11-2023,04-12-2023 00:00,No,3
KYC267,CUST1267,Pending,23-02-2023,,No,3
KYC268,CUST1268,Completed,01-02-2023,03-02-2023 00:00,No,3
KYC269,CUST1269,Pending,28-07-2023,,No,3
KYC270,CUST1270,Completed,25-06-2023,28-06-2023 00:00,No,3
KYC271,CUST1271,Pending,25-02-2023,,No,3
KYC272,CUST1272,Completed,12-05-2023,16-05-2023 00:00,No,3
KYC273,CUST1273,Pending,11-04-2023,,No,3
KYC274,CUST1274,Pending,12-04-2023,,No,3
KYC275,CUST1275,Completed,02-10-2023,03-10-2023 00:00,No,3
KYC276,CUST1276,Completed,22-08-2023,25-08-2023 00:00,No,3
KYC277,CUST1277,Pending,14-03-2023,,No,3
KYC278,CUST1278,Completed,08-08-2023,13-08-2023 00:00,No,3
KYC279,CUST1279,Completed,06-04-2023,09-04-2023 00:00,Yes,3
KYC280,CUST1280,Completed,26-05-2023,27-05-2023 00:00,No,3
KYC281,CUST1281,Completed,29-08-2023,01-09-2023 00:00,No,3
KYC282,CUST1282,Completed,10-05-2023,15-05-2023 00:00,No,3
KYC283,CUST1283,Completed,12-02-2023,15-02-2023 00:00,No,3
KYC284,CUST1284,Completed,16-08-2023,20-08-2023 00:00,No,3
KYC285,CUST1285,Completed,09-10-2023,12-10-2023 00:00,No,3
KYC286,CUST1286,Completed,22-02-2023,26-02-2023 00:00,No,3
KYC287,CUST1287,Completed,27-01-2023,30-01-2023 00:00,No,3
KYC288,CUST1288,Completed,01-12-2023,06-12-2023 00:00,No,3
KYC289,CUST1289,Pending,06-10-2023,,No,3
KYC290,CUST1290,Completed,12-01-2023,14-01-2023 00:00,No,3
KYC291,CUST1291,Completed,18-02-2023,20-02-2023 00:00,No,3
KYC292,CUST1292,Pending,05-05-2023,,No,3
KYC293,CUST1293,Completed,28-03-2023,01-04-2023 00:00,No,3
KYC294,CUST1294,Pending,01-08-2023,,No,3
KYC295,CUST1295,Completed,10-09-2023,14-09-2023 00:00,No,3
KYC296,CUST1296,Completed,07-09-2023,09-09-2023 00:00,No,3
KYC297,CUST1297,Completed,21-04-2023,26-04-2023 00:00,No,3
KYC298,CUST1298,Completed,29-07-2023,03-08-2023 00:00,No,3
KYC299,CUST1299,Completed,02-02-2023,05-02-2023 00:00,Yes,3
KYC300,CUST1300,Completed,26-03-2023,30-03-2023 00:00,No,3
